Date,Close/Last,Volume,,,
5/3/2022,$172.54 ,5438583,,,
5/2/2022,$174.00 ,5851582,,,
4/29/2022,$170.25 ,6698576,,,
4/28/2022,$175.85 ,8233639,,,
4/27/2022,$169.39 ,12570430,,,
4/26/2022,$168.44 ,9591653,,,
4/25/2022,$173.91 ,8737621,,,
4/22/2022,$173.31 ,6355869,,,
4/21/2022,$177.23 ,4734969,,,
4/20/2022,$179.42 ,4553809,,,
4/19/2022,$179.06 ,4671970,,,
4/18/2022,$176.56 ,3564025,,,
4/14/2022,$173.66 ,4578456,,,
4/13/2022,$175.11 ,5229054,,,
4/12/2022,$173.00 ,4550879,,,
4/11/2022,$171.94 ,4347851,,,
4/8/2022,$174.11 ,4504564,,,
4/7/2022,$177.60 ,4178547,,,
4/6/2022,$177.25 ,6933138,,,
4/5/2022,$177.18 ,6956458,,,
4/4/2022,$182.71 ,4644903,,,
4/1/2022,$182.08 ,4631765,,,
3/31/2022,$183.48 ,7170698,,,
3/30/2022,$187.45 ,3865719,,,
3/29/2022,$191.01 ,5835722,,,
3/28/2022,$185.68 ,3117048,,,
3/25/2022,$184.90 ,3738761,,,
3/24/2022,$184.21 ,4169424,,,
3/23/2022,$179.08 ,4821128,,,
3/22/2022,$182.35 ,3802974,,,
3/21/2022,$180.46 ,5030585,,,
3/18/2022,$180.10 ,9031479,,,
3/17/2022,$178.47 ,4930846,,,
3/16/2022,$176.33 ,5660414,,,
3/15/2022,$172.32 ,5138676,,,
3/14/2022,$166.72 ,4863167,,,
3/11/2022,$170.36 ,4869906,,,
3/10/2022,$172.75 ,6079155,,,
3/9/2022,$172.46 ,6047344,,,
3/8/2022,$167.34 ,7486503,,,
3/7/2022,$164.89 ,7064847,,,
3/4/2022,$169.98 ,6804786,,,
3/3/2022,$171.00 ,5154240,,,
3/2/2022,$170.10 ,5304114,,,
3/1/2022,$167.29 ,6049736,,,
2/28/2022,$169.99 ,5656824,,,
2/25/2022,$170.82 ,4830065,,,
2/24/2022,$169.59 ,7754828,,,
2/23/2022,$165.64 ,5893890,,,
2/22/2022,$166.69 ,7293808,,,
2/18/2022,$166.74 ,6359284,,,
